Date,Open,High,Low,Close,Adj Close,Volume
10-08-2022,297.066681,297.51001,283.369995,294.356659,294.356659,94918800
11-08-2022,296.513336,298.236664,285.833344,286.630005,286.630005,70155000
12-08-2022,289.416656,300.160004,285.033325,300.029999,300.029999,79657200
15-08-2022,301.786682,313.133331,301.230011,309.320007,309.320007,89359200
16-08-2022,311.666656,314.666656,302.883331,306.563324,306.563324,88136400
17-08-2022,303.396667,309.656677,300.033325,303.996674,303.996674,68766000
18-08-2022,306,306.5,301.853333,302.869995,302.869995,47500500
19-08-2022,299,300.359985,292.5,296.666656,296.666656,61395300
22-08-2022,291.91333,292.399994,286.296661,289.91333,289.91333,55843200
23-08-2022,291.453339,298.82666,287.92334,296.453339,296.453339,63984900
24-08-2022,297.563324,303.646667,296.5,297.09668,297.09668,57259800
25-08-2022,302.359985,302.959991,291.600006,296.070007,296.070007,53230000
26-08-2022,297.429993,302,287.470001,288.089996,288.089996,57163900
29-08-2022,282.829987,287.73999,280.700012,284.820007,284.820007,41864700
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
